filename,path,md5sum
MSK_DEFECT_B07.gml,S2A_MSIL1C_20191122T142731_N0208_R053_T20MRD_20191122T160846.SAFE/S2A_MSIL1C_20191122T142731_N0208_R053_T20MRD_20191122T160846.SAFE/GRANULE\L1C_T20MRD_A023073_20191122T142731\QI_DATA\MSK_DEFECT_B07.gml,16457b3da739d35c5392cb364c5cbc3e
MSK_DEFECT_B08.gml,S2A_MSIL1C_20191122T142731_N0208_R053_T20MRD_20191122T160846.SAFE/S2A_MSIL1C_20191122T142731_N0208_R053_T20MRD_20191122T160846.SAFE/GRANULE\L1C_T20MRD_A023073_20191122T142731\QI_DATA\MSK_DEFECT_B08.gml,9d2cc73366b8db345b400ef51bcbcbf0
MSK_DEFECT_B09.gml,S2A_MSIL1C_20191122T142731_N0208_R053_T20MRD_20191122T160846.SAFE/S2A_MSIL1C_20191122T142731_N0208_R053_T20MRD_20191122T160846.SAFE/GRANULE\L1C_T20MRD_A023073_20191122T142731\QI_DATA\MSK_DEFECT_B09.gml,39e3a215b55b54ff64189ff7ae2ea13f
MSK_DEFECT_B10.gml,S2A_MSIL1C_20191122T142731_N0208_R053_T20MRD_20191122T160846.SAFE/S2A_MSIL1C_20191122T142731_N0208_R053_T20MRD_20191122T160846.SAFE/GRANULE\L1C_T20MRD_A023073_20191122T142731\QI_DATA\MSK_DEFECT_B10.gml,e68f28cb4d025ffa6560e9b47addde01
MSK_DEFECT_B11.gml,S2A_MSIL1C_20191122T142731_N0208_R053_T20MRD_20191122T160846.SAFE/S2A_MSIL1C_20191122T142731_N0208_R053_T20MRD_20191122T160846.SAFE/GRANULE\L1C_T20MRD_A023073_20191122T142731\QI_DATA\MSK_DEFECT_B11.gml,29a0fd7f7b0d7b992f253c914f297164
MSK_DEFECT_B12.gml,S2A_MSIL1C_20191122T142731_N0208_R053_T20MRD_20191122T160846.SAFE/S2A_MSIL1C_20191122T142731_N0208_R053_T20MRD_20191122T160846.SAFE/GRANULE\L1C_T20MRD_A023073_20191122T142731\QI_DATA\MSK_DEFECT_B12.gml,61c4143586a3ff2fe4338ed31f6abc21
MSK_DEFECT_B8A.gml,S2A_MSIL1C_20191122T142731_N0208_R053_T20MRD_20191122T160846.SAFE/S2A_MSIL1C_20191122T142731_N0208_R053_T20MRD_20191122T160846.SAFE/GRANULE\L1C_T20MRD_A023073_20191122T142731\QI_DATA\MSK_DEFECT_B8A.gml,bb9f85468260cdaa9a79f06a7d6c903e
MSK_DETFOO_B01.gml,S2A_MSIL1C_20191122T142731_N0208_R053_T20MRD_20191122T160846.SAFE/S2A_MSIL1C_20191122T142731_N0208_R053_T20MRD_20191122T160846.SAFE/GRANULE\L1C_T20MRD_A023073_20191122T142731\QI_DATA\MSK_DETFOO_B01.gml,81a1387109f495e8578563ec7ed96d82
MSK_DETFOO_B02.gml,S2A_MSIL1C_20191122T142731_N0208_R053_T20MRD_20191122T160846.SAFE/S2A_MSIL1C_20191122T142731_N0208_R053_T20MRD_20191122T160846.SAFE/GRANULE\L1C_T20MRD_A023073_20191122T142731\QI_DATA\MSK_DETFOO_B02.gml,541640149f9815e448e271d7d2a67dcf
MSK_DETFOO_B03.gml,S2A_MSIL1C_20191122T142731_N0208_R053_T20MRD_20191122T160846.SAFE/S2A_MSIL1C_20191122T142731_N0208_R053_T20MRD_20191122T160846.SAFE/GRANULE\L1C_T20MRD_A023073_20191122T142731\QI_DATA\MSK_DETFOO_B03.gml,a59749c723ef9b74c444e30317b45294
